ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.ACCESS_WIFI_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.INTERNET]-[android.permission.VIBRATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[com.android.vending.CHECK_LICENSE]-[com.android.launcher.permission.INSTALL_SHORTCUT]-,1,1
sendBroadcast,com/acrodea/vividruntime/launcher/y,android.intent.action.vividruntime.installed,external,181,469,87
sendBroadcast,com/acrodea/vividruntime/launcher/y,android.intent.action.vividruntime.installerror,external,181,469,87
sendBroadcast,com/acrodea/vividruntime/launcher/y,android.intent.action.vividruntime.uninstalled,external,181,469,87
startActivity,com/acrodea/vividruntime/purchase/as,android.intent.action.VIEW,external,181,472,89
startActivity,com/acrodea/vividruntime/purchase/ChargeCoinActivity,com/acrodea/vividruntime/purchase/InAppBillingActivity,internal,183,472,93
startActivityForResult,com/acrodea/vividruntime/purchase/ChargeCoinActivity,com/acrodea/vividruntime/purchase/InAppBillingActivity,internal,183,472,93
startActivity,com/acrodea/vividruntime/purchase/ChargeCoinActivity,com/acrodea/vividruntime/purchase/WebPurchaseActivity,internal,183,472,93
startActivityForResult,com/acrodea/vividruntime/purchase/ChargeCoinActivity,com/acrodea/vividruntime/purchase/WebPurchaseActivity,internal,183,472,93
startService,com/acrodea/vividruntime/purchase/google/InAppBillingReceiver,com/acrodea/vividruntime/purchase/google/InAppBillingService,external,183,474,93
bindService,com/acrodea/vividruntime/purchase/google/InAppBillingService,com.android.vending.billing.MarketBillingService.BIND,internal,183,474,93
bindService,com/acrodea/vividruntime/purchase/google/InAppBillingService,com.android.vending.billing.MarketBillingService.BIND,internal,183,474,93
bindService,com/acrodea/vividruntime/purchase/InAppBillingActivity,null,internal,183,474,93
bindService,com/acrodea/vividruntime/purchase/InAppBillingActivity,com/acrodea/vividruntime/purchase/google/InAppBillingService,internal,183,474,93
startActivity,com/acrodea/vividruntime/purchase/ItemInfoActivity,com/acrodea/vividruntime/purchase/ChargeCoinActivity,internal,183,474,93
startActivityForResult,com/acrodea/vividruntime/purchase/ItemInfoActivity,com/acrodea/vividruntime/purchase/ChargeCoinActivity,internal,183,474,93
startActivity,com/acrodea/vividruntime/purchase/ItemListActivity,com/acrodea/vividruntime/purchase/ItemInfoActivity,internal,183,480,96
startActivityForResult,com/acrodea/vividruntime/purchase/ItemListActivity,com/acrodea/vividruntime/purchase/ItemInfoActivity,internal,183,480,96
startActivity,com/acrodea/vividruntime/purchase/PurchaseActivityBase,com/acrodea/vividruntime/purchase/TermsActivity,external,183,480,96
startActivityForResult,com/acrodea/vividruntime/purchase/PurchaseActivityBase,com/acrodea/vividruntime/purchase/TermsActivity,external,183,480,96
startActivity,com/acrodea/vividruntime/purchase/x,android.intent.action.VIEW,external,188,480,102
startActivity,com/acrodea/vividruntime/ticketloader/ac,android.intent.action.VIEW,external,188,480,105
startActivity,com/acrodea/vividruntime/ticketloader/aj,android.intent.action.VIEW,external,188,480,108
startActivity,com/acrodea/vividruntime/ticketloader/b,null,external,188,480,109
sendBroadcast,com/acrodea/vividruntime/ticketloader/c,android.intent.action.ggee.ticketloader.update.1327,external,188,480,109
sendBroadcast,com/acrodea/vividruntime/ticketloader/c,android.intent.action.ggee.ticketloader.update.1327,external,188,480,109
startActivity,com/acrodea/vividruntime/ticketloader/g,android.intent.action.MAIN,external,188,480,110
startActivity,com/acrodea/vividruntime/ticketloader/g,android.intent.action.VIEW,external,188,480,110
startActivity,com/acrodea/vividruntime/ticketloader/g,android.intent.action.VIEW,external,188,480,110
sendBroadcast,com/acrodea/vividruntime/ticketloader/s,com.android.launcher.action.INSTALL_SHORTCUT,external,188,505,114
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.VIEW,external,188,505,115
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.MAIN,external,188,505,115
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.MAIN,external,188,505,115
startService,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.MAIN,external,188,505,115
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.MAIN,external,188,505,115
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.MAIN,external,188,505,115
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.ggee.ticketloader.update.1327,external,190,511,124
startActivity,com/acrodea/vividruntime/ticketloader/TicketLoader,android.intent.action.ggee.ticketloader.update.1327,external,190,511,125
startService,com/acrodea/vividruntime/ticketloader/u,android.intent.action.MAIN,external,190,511,125
bindService,com/android/vending/licensing/t,null,external,190,527,128
bindService,com/android/vending/licensing/t,com/android/vending/licensing/ILicensingService,external,190,527,128
startActivity,com/mobclix/android/sdk/au,android.intent.action.VIEW,external,248,549,131
startActivity,com/mobclix/android/sdk/au,android.intent.action.VIEW,external,248,549,131
startActivity,com/mobclix/android/sdk/au,android.intent.action.VIEW,external,248,549,131
startActivity,com/mobclix/android/sdk/au,android.intent.action.VIEW,external,248,549,131
startActivity,com/mobclix/android/sdk/aw,android.intent.action.VIEW,external,248,549,131
