ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.GET_ACCOUNTS]-[android.permission.USE_CREDENTIALS]-,0,1
startActivityForResult,com/borixo/transzilla/TranslateFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,580,277
startActivity,com/borixo/transzilla/TranslateFragment,com/borixo/transzilla/AboutActivityExtended,external,142,580,277
startActivity,com/borixo/transzilla/TranslateFragment,android.intent.action.SEND,external,142,580,277
startActivity,com/borixo/transzilla/TransZillaApplication$1,null,external,142,580,289
startActivity,com/borixo/transzilla/util/ARater$1,android.intent.action.VIEW,external,142,580,290
startActivity,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivity,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivityForResult,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivity,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivityForResult,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivity,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivityForResult,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivity,com/borixo/transzilla/WebPageTranslateActivity_$IntentBuilder_,com/borixo/transzilla/WebPageTranslateActivity_,external,142,580,292
startActivity,com/chartboost/sdk/Chartboost,com/chartboost/sdk/CBImpressionActivity,external,142,601,294
startActivity,com/chartboost/sdk/impl/n,android.intent.action.VIEW,external,163,629,299
startActivity,com/chartboost/sdk/impl/n,android.intent.action.VIEW,external,163,629,299
startActivity,com/example/FeedbackLibrary/FeedbackActivity,com/example/FeedbackLibrary/Preview,internal,188,918,308
startActivity,com/example/FeedbackLibrary/Preview,com/example/FeedbackLibrary/ProcessList,internal,188,934,314
startActivity,com/example/FeedbackLibrary/Preview,com/example/FeedbackLibrary/LogList,internal,188,934,314
startActivity,com/example/FeedbackLibrary/Preview,com/example/FeedbackLibrary/LogList,internal,188,934,314
startActivity,com/example/FeedbackLibrary/Preview,com/example/FeedbackLibrary/FingerPaint,internal,188,934,314
startActivity,com/example/FeedbackLibrary/Starter,com/example/FeedbackLibrary/FeedbackActivity,external,190,934,314
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,248,1084,315
startActivity,com/google/ads/AdActivity,Tried to launch empty intent.,external,248,1084,315
startActivity,com/google/ads/internal/AdWebView$1,android.intent.action.VIEW,external,259,1116,317
startActivity,com/google/ads/internal/k$a$3,android.intent.action.SEND,external,263,1125,323
startActivity,com/google/android/gms/internal/cq,android.intent.action.VIEW,external,284,1142,338
startActivity,com/google/android/gms/internal/d,null,external,284,1142,341
startActivityForResult,com/google/android/gms/internal/d,null,external,284,1142,341
bindService,com/google/android/gms/internal/f,com.google.android.gms,external,284,1143,341
startService,com/google/android/gms/internal/f,com.google.android.gms,external,284,1143,341
bindService,com/google/android/gms/internal/f,com.google.android.gms,external,284,1143,341
startService,com/google/android/gms/internal/f,com.google.android.gms,external,284,1143,341
bindService,com/google/android/gms/internal/f,com.google.android.gms,external,284,1143,341
startActivity,com/google/android/gms/plus/PlusOneButton$a,null,external,297,1145,341
startActivityForResult,com/google/android/gms/plus/PlusOneButton$a,null,external,297,1145,341
startActivity,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,303,1145,347
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,303,1145,347
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.VIEW,external,303,1145,347
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.VIEW,external,303,1145,347
startActivity,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,303,1145,347
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,303,1145,347
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.EDIT,external,303,1145,347
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.EDIT,external,303,1145,347
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.media.action.IMAGE_CAPTURE,external,303,1145,347
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.media.action.IMAGE_CAPTURE,external,303,1145,347
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.PICK,external,303,1145,347
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.PICK,external,303,1145,347
startActivity,com/inmobi/androidsdk/impl/imai/IMAIUtility,com/inmobi/androidsdk/IMBrowserActivity,external,303,1145,347
startActivity,com/inmobi/androidsdk/impl/imai/IMAIUtility,android.intent.action.VIEW,external,303,1145,347
sendBroadcast,com/inmobi/commons/analytics/iat/impl/AdTrackerUtils,action.inmobi.ADTRACKER,external,399,1170,347
startActivity,com/inmobi/re/container/IMWebView,android.intent.action.VIEW,external,449,1251,355
startActivity,com/inmobi/re/container/IMWebView,android.intent.action.VIEW,external,449,1251,357
startActivity,com/inmobi/re/container/mraidimpl/MRAIDBasic$a,android.intent.action.VIEW,external,449,1255,361
startActivity,com/inmobi/re/container/mraidimpl/MRAIDBasic,com/inmobi/androidsdk/IMBrowserActivity,external,449,1255,361
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,449,1255,370
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,449,1255,370
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.CALL,external,449,1255,370
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,449,1255,370
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.SEND,external,449,1255,370
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.VIEW,external,449,1255,370
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,451,1255,370
startActivity,com/jirbo/adcolony/ADCController,com/jirbo/adcolony/AdColonyOverlay,external,453,1287,372
startActivity,com/jirbo/adcolony/ADCController,com/jirbo/adcolony/AdColonyFullscreen,external,453,1287,372
sendBroadcast,com/jirbo/adcolony/ADCCustomVideoView,com.android.music.musicservicecommand,external,453,1297,373
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.EDIT,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.EDIT,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.SEND,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,com/jirbo/adcolony/AdColonyBrowser,external,463,1375,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,463,1375,378
