AppName,BroadcastReceiverOccurenceFrequency,ActivityOccurenceFrequency:,ServicesOccurenceFrequency:,TotalComponentFrequency: ,MostCommonTargetComponent: ,MostCommonSourceComponent: ,InternalOccurence:,ExternalOccurence,Permissions,NormalPerms,DangerousPerms,SignaturePerms,RiskRatePerPerms,androidApiCount,javaApiCount,totalApiCount,apiPerComponent,userActionCount,userActionPerComponent,StringOffset,Repacked
0gSNrvfZWnOa.csv,2,17,9,28,2,4,2,26,9,4,3,4,0.3333333333333333,11,6,17,0.6071428571428571,9,0.32142857142857145,True,True
0gukUhwBDbS9.csv,0,12,9,21,4,4,3,18,12,6,4,6,0.3333333333333333,5,6,11,0.5238095238095238,9,0.42857142857142855,True,True
0HBFEUDWrtOf.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0HdnXMr54ASN.csv,0,12,9,21,4,4,3,18,12,6,4,6,0.3333333333333333,5,6,11,0.5238095238095238,9,0.42857142857142855,True,True
0HEuyPrTPEhH.csv,0,27,0,27,7,6,2,25,27,11,10,11,0.37037037037037035,11,8,19,0.7037037037037037,6,0.2222222222222222,True,True
0HgAcWRe7x0h.csv,3,31,8,42,11,4,1,42,9,3,5,3,0.5555555555555556,8,5,13,0.30952380952380953,5,0.11904761904761904,True,True
0hGKcI73pW6c.csv,4,48,34,86,11,6,1,86,5,2,3,2,0.6,14,13,27,0.313953488372093,18,0.20930232558139536,True,True
0hhHEMQiV8bm.csv,2,12,13,27,8,5,1,27,3,2,1,2,0.3333333333333333,10,6,16,0.5925925925925926,7,0.25925925925925924,False,True
0hke9ipUCQSu.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0HvcvXX6g4ED.csv,0,15,0,15,4,2,1,15,6,4,2,4,0.3333333333333333,4,4,8,0.5333333333333333,4,0.26666666666666666,False,True
0HxzqVNe0OFA.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0ib0MjCzrhH9.csv,2,34,2,38,17,11,2,36,6,2,4,2,0.6666666666666666,19,9,28,0.7368421052631579,11,0.2894736842105263,False,False
0ICAQY4ioB1B.csv,0,19,0,19,5,5,1,19,10,3,3,3,0.3,13,9,22,1.1578947368421053,5,0.2631578947368421,False,True
0iJ2vplPpwc9.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0IJJvb31z2Um.csv,12,167,2,181,27,56,51,130,11,5,6,5,0.5454545454545454,52,51,103,0.569060773480663,52,0.287292817679558,False,False
0Iq3znjUVQb2.csv,3,31,30,64,26,8,4,60,5,2,3,2,0.6,16,8,24,0.375,19,0.296875,False,True
0IsEfolVBPel.csv,11,119,40,170,23,12,1,170,11,5,4,5,0.36363636363636365,19,14,33,0.19411764705882353,24,0.1411764705882353,False,False
0JNmsej2PNbO.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0Jpncmi2peS5.csv,1,23,2,26,2,6,1,26,8,2,3,2,0.375,19,6,25,0.9615384615384616,13,0.5,True,True
0k1KLruE5BJt.csv,7,58,7,72,4,29,4,68,3,2,1,2,0.3333333333333333,36,22,58,0.8055555555555556,28,0.3888888888888889,False,False
0kaa06A9q9XH.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0kdFaFFJrM6W.csv,0,1,0,1,1,1,0,0,7,2,4,2,0.5714285714285714,1,1,2,2.0,1,1.0,True,True
0KGKUaIFS4Ke.csv,0,4,0,4,1,1,1,4,2,2,0,2,0.0,2,2,4,1.0,2,0.5,False,True
0KOiNfgLYpxK.csv,0,4,0,4,3,1,1,4,6,2,3,2,0.5,3,2,5,1.25,2,0.5,True,True
0KS0yzWaScFt.csv,0,12,1,13,3,4,2,11,7,3,3,3,0.42857142857142855,6,6,12,0.9230769230769231,4,0.3076923076923077,True,True
0KyU425K6yfd.csv,1,11,2,14,5,2,1,14,4,2,1,2,0.25,3,2,5,0.35714285714285715,6,0.42857142857142855,False,True
0lCGxQn3Ovax.csv,2,59,9,70,2,6,1,69,2,1,1,1,0.5,21,17,38,0.5428571428571428,20,0.2857142857142857,False,True
0lDTnMUQgLe5.csv,1,26,0,27,2,6,1,27,3,2,1,2,0.3333333333333333,21,6,27,1.0,12,0.4444444444444444,False,False
0Lg7dy0VvL72.csv,0,12,1,13,3,4,1,12,6,2,3,2,0.5,6,6,12,0.9230769230769231,4,0.3076923076923077,True,True
0LJ54vBWPEIE.csv,0,19,0,19,5,5,1,19,1,0,0,0,0.0,13,9,22,1.1578947368421053,5,0.2631578947368421,False,True
0lkB8GupZlW9.csv,1,104,0,105,27,14,1,104,5,2,2,2,0.4,38,14,52,0.49523809523809526,16,0.1523809523809524,False,True
0LowgPHqUw1S.csv,0,11,0,11,4,4,1,11,6,2,3,2,0.5,9,8,17,1.5454545454545454,4,0.36363636363636365,True,True
0lPJ0BX0HRDA.csv,0,4,0,4,2,1,1,4,5,2,3,2,0.6,2,2,4,1.0,1,0.25,False,True
0lsLafujiPcY.csv,0,1,0,1,1,1,0,0,6,2,3,2,0.5,1,1,2,2.0,1,1.0,True,False
0LUr5LuLzS3Z.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0m2Bni19IjGQ.csv,1,31,2,34,4,2,1,34,10,2,4,2,0.4,18,20,38,1.1176470588235294,4,0.11764705882352941,True,False
0m9SBzVyIJh2.csv,1,44,0,45,4,6,1,45,5,2,3,2,0.6,17,8,25,0.5555555555555556,6,0.13333333333333333,False,True
0maeQrEL36zb.csv,2,60,9,71,2,6,1,70,2,1,1,1,0.5,21,17,38,0.5352112676056338,20,0.28169014084507044,False,True
0miFAMKPwwGs.csv,12,25,4,41,5,8,12,29,8,2,6,2,0.75,23,10,33,0.8048780487804879,13,0.3170731707317073,False,False
0mIgjHhYXiMI.csv,11,67,31,109,11,6,2,107,6,4,2,4,0.3333333333333333,28,13,41,0.3761467889908257,18,0.1651376146788991,False,True
0mSh6NmZOYTW.csv,0,14,0,14,8,3,1,14,4,2,2,2,0.5,8,3,11,0.7857142857142857,3,0.21428571428571427,True,True
0Msu2EaIaEJ9.csv,0,26,0,26,14,4,1,26,3,2,1,2,0.3333333333333333,7,4,11,0.4230769230769231,6,0.23076923076923078,False,True
0mUWPhbjiknp.csv,0,8,0,8,3,2,1,8,5,2,1,2,0.2,8,5,13,1.625,3,0.375,False,True
0N2ExbI3yvLM.csv,0,68,2,70,12,12,2,68,3,2,1,2,0.3333333333333333,18,19,37,0.5285714285714286,21,0.3,False,True
0NyDP9RFBXdU.csv,0,17,10,27,5,6,7,20,16,5,6,5,0.375,6,6,12,0.4444444444444444,8,0.2962962962962963,True,True
0OMBIG8A2lfK.csv,0,2,0,2,1,1,1,2,11,4,6,4,0.5454545454545454,2,1,3,1.5,1,0.5,True,True
0OsOVGDEAr2p.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0OUekWwdoebL.csv,0,3,6,9,2,3,1,9,1,0,1,0,1.0,6,5,11,1.2222222222222223,6,0.6666666666666666,False,True
0OYnkfcclcHQ.csv,0,31,0,31,11,2,27,4,15,5,6,5,0.4,31,31,62,2.0,1,0.03225806451612903,True,True
0P2uKGILBrMd.csv,4,44,30,78,11,12,1,78,5,4,1,4,0.2,12,12,24,0.3076923076923077,22,0.28205128205128205,False,True
0pbQMnvrwbjo.csv,24,41,3,68,4,15,17,51,3,2,1,2,0.3333333333333333,24,23,47,0.6911764705882353,23,0.3382352941176471,False,True
0Pf9wGJVZ4Jv.csv,0,1,0,1,1,1,0,0,6,2,3,2,0.5,1,1,2,2.0,1,1.0,True,True
0pWYAh5DD8dA.csv,1,17,3,21,9,4,1,21,52,19,15,19,0.28846153846153844,4,4,8,0.38095238095238093,6,0.2857142857142857,True,True
0qcCAxlHYRcP.csv,2,29,2,33,7,6,1,33,16,4,8,4,0.5,21,6,27,0.8181818181818182,12,0.36363636363636365,True,True
0qchuJ4K160R.csv,1,53,0,54,14,13,4,50,23,10,9,10,0.391304347826087,13,13,26,0.48148148148148145,13,0.24074074074074073,False,True
0QqBb8n5JSXA.csv,3,43,5,51,10,6,4,47,10,4,5,4,0.5,20,6,26,0.5098039215686274,13,0.2549019607843137,False,False
0rcLOtwDRHqT.csv,4,44,30,78,11,12,1,78,5,4,1,4,0.2,12,12,24,0.3076923076923077,22,0.28205128205128205,False,True
0rEcT1Ph21ls.csv,0,22,0,22,2,2,1,22,11,2,6,2,0.5454545454545454,6,4,10,0.45454545454545453,4,0.18181818181818182,False,True
0REKCMGVajsc.csv,0,11,0,11,6,4,1,11,3,2,1,2,0.3333333333333333,4,4,8,0.7272727272727273,4,0.36363636363636365,False,False
0rgc1hSi5TbR.csv,1,54,9,64,4,6,1,64,1,1,0,1,0.0,19,17,36,0.5625,21,0.328125,False,False
0rthqx2VKhru.csv,0,32,0,32,9,4,2,30,11,5,5,5,0.45454545454545453,14,9,23,0.71875,10,0.3125,True,False
0ry3KtVmvItb.csv,1,11,11,23,8,6,1,22,6,2,4,2,0.6666666666666666,13,5,18,0.782608695652174,6,0.2608695652173913,False,False
0S6jvP9K6l6e.csv,1,78,18,97,7,6,1,97,8,2,4,2,0.5,21,17,38,0.3917525773195876,23,0.23711340206185566,True,True
0SFXnk0bBZoV.csv,9,69,4,82,18,6,1,81,7,3,2,3,0.2857142857142857,28,11,39,0.47560975609756095,14,0.17073170731707318,False,False
0Sl7m1Mepu2a.csv,0,19,0,19,5,5,1,19,10,3,3,3,0.3,13,9,22,1.1578947368421053,5,0.2631578947368421,False,True
0t4fZb0zax1Q.csv,3,66,29,98,33,6,1,98,5,2,3,2,0.6,13,12,25,0.25510204081632654,11,0.11224489795918367,False,True
0TbMdw7coj6Z.csv,6,80,30,116,8,6,1,115,8,2,3,2,0.375,21,17,38,0.3275862068965517,20,0.1724137931034483,False,False
0UFSkjVZMCyr.csv,1,24,8,33,5,6,2,31,14,7,4,7,0.2857142857142857,21,6,27,0.8181818181818182,12,0.36363636363636365,True,True
0ujZJ7xMOxn2.csv,0,32,0,32,9,4,2,30,11,5,5,5,0.45454545454545453,14,9,23,0.71875,10,0.3125,True,False
0unduYemp1yy.csv,7,65,33,105,11,6,1,105,6,2,2,2,0.3333333333333333,28,10,38,0.3619047619047619,24,0.22857142857142856,False,False
0v3DDetYsEgR.csv,0,7,0,7,2,4,1,7,11,3,6,3,0.5454545454545454,7,7,14,2.0,4,0.5714285714285714,True,True
0vVCZRmAO1U2.csv,5,81,13,99,8,17,6,93,19,7,8,7,0.42105263157894735,16,22,38,0.3838383838383838,22,0.2222222222222222,True,False
0Vzu4pYjcbSu.csv,0,1,7,8,5,3,2,6,12,6,4,6,0.3333333333333333,3,3,6,0.75,3,0.375,True,True
0wlhNof0eJHS.csv,1,24,8,33,5,6,2,31,14,7,4,7,0.2857142857142857,21,6,27,0.8181818181818182,12,0.36363636363636365,True,True
0ww7JTkj1M1S.csv,0,27,3,30,10,4,1,30,5,2,3,2,0.6,5,5,10,0.3333333333333333,4,0.13333333333333333,True,True
0WWA1gI72L28.csv,1,72,15,88,6,10,3,85,6,2,3,2,0.5,21,17,38,0.4318181818181818,21,0.23863636363636365,True,True
0X7huOMgK10M.csv,0,36,0,36,19,6,1,36,6,3,3,3,0.5,7,7,14,0.3888888888888889,6,0.16666666666666666,False,False
0xkcXNks1WXz.csv,0,140,8,148,69,14,50,98,23,6,12,6,0.5217391304347826,65,30,95,0.6418918918918919,29,0.19594594594594594,False,False
0xpXbFQAImom.csv,15,93,42,150,10,12,1,149,13,5,4,5,0.3076923076923077,19,17,36,0.24,21,0.14,False,True
0xRErT5dyNaJ.csv,2,16,13,31,8,5,2,29,2,2,0,2,0.0,10,7,17,0.5483870967741935,7,0.22580645161290322,False,True
0YgWRyJfd2ic.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0yHWzkHPFWLl.csv,24,41,3,68,4,15,17,51,3,2,1,2,0.3333333333333333,24,23,47,0.6911764705882353,23,0.3382352941176471,False,True
0YKpHndg46kN.csv,0,1,0,1,1,1,0,0,15,5,6,5,0.4,1,1,2,2.0,1,1.0,True,True
0yQEWPFsKPbG.csv,0,1,0,1,1,1,0,0,6,2,3,2,0.5,1,1,2,2.0,1,1.0,True,False
0YYkUYkNFD6T.csv,0,12,1,13,3,4,2,11,7,3,3,3,0.42857142857142855,6,6,12,0.9230769230769231,4,0.3076923076923077,True,False
0Z2tm2xAIOIR.csv,0,5,0,5,2,2,1,5,4,2,1,2,0.25,5,2,7,1.4,2,0.4,False,True
0ZgOqETLTrEU.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0zJKsseCAQ95.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
10BQY3QPoPFE.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
11BdNcUgHnow.csv,0,22,2,24,5,6,1,24,5,1,4,1,0.8,12,20,32,1.3333333333333333,8,0.3333333333333333,False,False
12HJcwxXKQmU.csv,0,1,0,1,1,1,0,0,8,3,4,3,0.5,1,1,2,2.0,1,1.0,True,True
13MR8kph3Kbv.csv,0,10,0,10,2,8,1,10,1,0,0,0,0.0,10,8,18,1.8,8,0.8,False,True
147glfkaE8CX.csv,0,22,8,30,7,4,1,30,1,0,0,0,0.0,7,6,13,0.43333333333333335,5,0.16666666666666666,True,True
147W8WfWJ6vW.csv,1,28,0,29,3,6,1,29,2,2,0,2,0.0,19,6,25,0.8620689655172413,13,0.4482758620689655,False,True
14l7JW46PNQG.csv,1,24,8,33,5,6,2,31,14,7,4,7,0.2857142857142857,21,6,27,0.8181818181818182,12,0.36363636363636365,True,True
14NdZEle7yly.csv,0,2,1,3,1,1,1,3,1,0,1,0,1.0,1,1,2,0.6666666666666666,1,0.3333333333333333,False,True
